OBJECTID,TCE_NM_RIO,TCE_DS_CLASSE,SHAPE_Length
2110,Rio Paranapanema,5,0.0820470457480936
2111,Rio Paranapanema,5,0.0320492006969294
2112,Rio Paranapanema,5,0.191884707250322
2113,Rio Jaguari,5,0.163475960031187
2114,Rio Paranapanema,5,0.0909428427832428
2115,Rio Paranapanema,5,0.0432827430757802
2116,Rio Camanducaia,5,0.0288228596849849
2117,Rio Atibaia,1,0.050327691795753
2118,Rio Jaguari,5,0.0677138399113192
2119,sem nome,4,0.158346476236893
2120,Rio Jaguari,5,0.0438730034434123
2121,Rio Jaguari,5,0.12990398860275
2122,Rio Verde Pequeno,2,0.00490140991871206
2123,Rio Verde Pequeno,2,0.136739084553712
2124,Rio Carinhanha,999,0.0325457382119413
2125,Rio Carinhanha,999,0.000163097625382219
2126,Rio Carinhanha,999,0.00580021307187456
2127,Rio Verde Pequeno,2,0.0267973712091952
2128,sem nome,4,0.0468630751497504
2129,Rio Carinhanha,999,0.0917068974497309
2130,Rio Carinhanha,999,0.0517776435553277
2131,Rio Verde Pequeno,2,0.0366440483192578
2132,Rio Verde Pequeno,2,0.0205761002847493
2133,Rio Verde Pequeno,2,0.0456931077716679
2134,Rio Carinhanha,999,0.129544689529112
2135,sem nome,4,0.0671664201563442
2136,Rio Ipanema,999,0.0319902883712463
2137,Riacho Salobro,999,0.197056378749738
2138,Riacho do Mel,999,0.0718154040439592
2139,Rio Canapi,999,0.229246435383553
2140,Rio Ipanema,999,0.039478139691515
2141,Rio Dois Riachos,999,0.0569480471701258
2142,Rio Traipu,999,0.11644776154712
2143,Rio Dois Riachos,999,0.102624394958079
2144,Rio Ipanema,999,0.0592494175766409
2145,Rio Traipu,999,0.0642874927425003
2146,sem nome,999,0.123853773521599
2147,Rio Ribeira do Capiá,999,0.136128621609657
2148,Rio Pardo,5,0.180157185504164
2149,Rio Pardo,5,0.147668777243132
2150,Rio Pardo,5,0.0620564394177629
2151,Rio Pardo,5,0.100417843349912
2152,Rio Pardo,5,0.0410334969511825
2153,Rio Pardo,5,0.0649279682383407
2154,Rio Sapucaí,6,0.128794636783683
2155,Rio Aiuruoca,6,0.103609775595851
2156,Ribeirão Bom Jesus,5,0.154342650497051
2157,Rio Pardo,5,0.163290785847516
2158,Rio Pardo,5,0.0424554227307979
2159,Rio Sapucaí,6,0.098763506330881
2160,Rio Atibaia,1,0.0519837127501643
2161,Rio Jaguari,5,0.0724218783823474
2162,Rio Paranapanema,5,0.141946766791825
2163,Rio Jaguari,5,0.0858148172337617
2164,Rio Paranapanema,5,0.0438935991749127
2165,Rio Jaguari,5,0.192391837180542
2166,Rio Jaguari,5,0.0505530665083363
2167,Rio Atibaia,5,0.17699597536832
2168,Rio Atibaia,5,0.0179300154667167
2169,Ribeirão do Cancã,5,0.149759401942705
2170,Rio Atibaia,5,0.0340995153951538
2171,Rio Atibaia,5,0.0501980130253039
2172,sem nome,4,0.00433293316836226
2173,Rio Carinhanha,999,0.0743620807316095
2174,sem nome,4,0.0279076845344343
2175,Corrego Lorena,999,0.0459730552715692
2176,sem nome,4,0.157105540434791
2177,Rio Verde Grande,4,0.990213289239041
2178,sem nome,3,0.0286692498977704
2179,sem nome,5,0.150838906062117
2180,Rio Verde Grande,4,0.176237691321802
2181,Rio Preto,5,0.0549738478014133
2182,Rio Traipu,999,0.0457634512073464
2183,Rio Ipanema,999,0.0934373269611263
2184,Rio Dois Riachos,999,0.130420748371482
2185,sem nome,999,0.157393921271038
2186,Rio Traipu,999,0.047537582608553
2187,Rio Salgado,999,0.212622940107583
2188,Rio Ipanema,999,0.0487271020801478
2189,Rio Ipanema,999,0.0252341203525036
2190,Rio Traipu,999,0.0514200555978554
2191,Riacho,999,0.0318617711264758
2192,Rio Traipu,999,0.0454131096726827
2193,Rio Ipanema,999,0.108699299364449
2194,Rio Sapucaí,6,0.0509518314406977
2195,Rio Sapucaí,6,0.0290611479404959
2196,Rio Aiuruoca,6,0.175367055333471
2197,Rio Aiuruoca,6,0.0122471913277299
2198,Rio Sapucaí,6,0.0396385237840989
2199,Rio Pardo,5,0.262461106171987
2200,Rio Pardo,5,0.0328790043623439
2201,Rio Lambari,2,0.14716584607487
2202,Rio Sapucaí,6,0.0303170705356297
2203,Rio Aiuruoca,6,0.0716418725086547
2204,Rio Aiuruoca,6,0.0327192784277514
2205,Rio Pardo,5,0.10422374065242
2206,Rio Atibaia,5,0.0402272419708638
2207,Rio Paranapanema,5,0.138034375575173
2208,Rio Paranapanema,5,0.0418384400544913
2209,Rio Atibaia,5,0.0762736055146892
2210,Rio Atibaia,1,0.0112297122114857
2211,Rio Paranapanema,5,0.0789602125063125
2212,Rio Carinhanha,999,0.052642144670298
2213,Rio Carinhanha,999,0.0204387847919963
2214,Rio Itaguari,999,0.0741118810951957
2215,Rio Itaguari,999,0.0961800529682463
2216,Rio Carinhanha,999,0.0717176135378895
2217,Rio Verde Pequeno,2,0.0873474894580532
2218,Rio Carinhanha,999,0.0357204247116794
2219,Rio Verde Pequeno,2,0.0533633155609433
2220,Rio Moxotó,999,0.0425053174880381
2221,Rio Ipanema,999,0.110611579494633
2222,Rio Ipanema,999,0.0131561047271578
2223,Rio Garanuzinho,999,0.0533069129437284
2224,Rio Ipanema,999,0.0432211065541018
2225,Rio Ipanema,999,0.000299307914708212
2226,Rio Canapi,999,0.147512069389234
2227,Rio Ipanema,999,0.0428408866655906
2228,Rio Garanuzinho,999,0.0689102304579582
2229,sem nome,999,0.161521849958873
2230,Riacho do Mel,999,0.114386587568448
2231,Rio Canapi,999,0.0532350662407789
2232,Rio Moxotó,999,0.177678957286637
2233,Rio Canoas,5,0.0340138342073291
2234,Rio Canoas,5,0.163603438947825
2235,Rio Pardo,5,0.0279858724400199
2236,Rio Grande,6,0.144180253324241
2237,Rio Canoas,5,0.0568809010104024
2238,Rio Grande,6,0.0451001664297654
2239,Rio Grande,6,0.00557459063328914
2240,Rio Pardo,5,0.168295312292199
2241,Rio Grande,6,0.0447752962964246
2242,Rio Canoas,5,0.0452906636433894
2243,Rio Grande,6,0.0344110677846709
2244,Rio Pardo,5,0.0984075230840388
2245,Rio Canoas,5,0.058042385664573
2246,Rio Paranapanema,5,0.0211976204604158
2247,Rio Atibaia,1,0.0750333225812112
2248,Rio Paranapanema,5,0.0554671052901082
2249,Rio Sapucaí-mirim,6,0.0402747069073686
2250,Rio Paranapanema,5,0.0393770640101825
2251,Rio Paranapanema,5,0.138271793330672
2252,Rio Sapucaí-mirim,6,0.010125394627642
2253,Rio Paranapanema,5,0.0369222834268376
2254,Rio Sapucaí-mirim,4,0.166336199587826
2255,Rio Paranapanema,5,0.0555043261438858
2256,Rio Paranapanema,5,0.058496961034565
2257,Rio Camanducaia,5,0.107010217367734
2258,Rio Paranapanema,5,0.0691840928396928
2259,Rio Carinhanha,999,0.0273198737600312
2260,Rio Verde Grande,4,0.130957088947548
2261,Rio Verde Pequeno,2,0.0600619639563652
2262,sem nome,4,0.0644366476552422
2263,Rio Verde Pequeno,2,0.0359483569448894
2264,Rio Carinhanha,999,0.106263124351834
2265,sem nome,4,0.0439226173891591
2266,Rio Verde Grande,4,0.0923223508580123
2267,sem nome,4,0.0196978218169456
2268,sem nome,4,0.018861332058694
2269,Rio Carinhanha,999,0.0425695969116959
2270,Rio Carinhanha,999,0.0087376379333185
2271,Rio Carinhanha,999,0.0584846606721325
2272,Rio Moxotó,999,0.03240004260751
2273,Rio Garanuzinho,999,0.0719649155335112
2274,Rio Moxotó,999,0.162192638584702
2275,Riacho do Mel,999,0.0983215745242264
2276,Rio Moxotó,999,0.0212493791486658
2277,Rio Ipanema,999,0.128343912770174
2278,Riacho do Mel,999,0.0622468018198599
2279,Rio Moxotó,999,0.0842465900564761
2280,Rio Garanuzinho,999,0.13186813818813
2281,Rio Moxotó,999,0.0282651581908523
2282,Rio Ipanema,999,0.0781141491954172
2283,Riacho do Mel,999,0.0582542711587133
2284,Riacho do Mel,999,0.0146596212414755
2285,Rio Pardo,5,0.0785216064723965
2286,Rio Guaxupé,5,0.390987769285137
2287,Rio Grande,6,0.0878708382526242
2288,Rio Grande,6,0.0376126764962005
2289,Rio Guaxupé,5,0.0662121802544609
2290,sem nome,5,0.125226787282053
2291,Ribeirão Bom Jesus,5,0.0870114260149816
2292,Rio Pardo,5,0.118890304669138
2293,Rio Grande,6,0.0544393952691851
2294,Ribeirão Bom Jesus,5,0.0618790000738229
2295,Rio Pardo,5,0.0431148552192762
2296,Ribeirão Bom Jesus,5,0.0915277335564361
2297,Rio Verde Grande,2,0.0235202891633934
2298,Rio Verde Grande,2,0.115442786965615
2299,Rio Verde Grande,2,0.0680776567150219
2300,Rio Verde Grande,2,0.0767801094737027
2301,Rio do Cachorro,999,0.0936939504978196
2302,Rio do Cachorro,999,0.00845223823399296
2303,Rio Capivara,999,0.18040660799083
2304,Rio Capivara,999,0.119057619584388
2305,Rio Traipu,999,0.134701268549292
2306,Rio do Cachorro,999,0.142343084209537
2307,Rio do Cachorro,999,0.0383407472966242
2308,Rio Capivara,999,0.0318693178993489
2309,Rio Capivara,999,0.031798397796231
2310,Rio Capivara,999,0.21332985618276
2311,Rio Itaguari,999,0.0345222250775749
2312,Rio Jaguari-mirim,1,0.0039696692248266
2313,Rio Jaguari-mirim,1,0.0129632020184747
2314,Rio Jaguari-mirim,5,0.0481411326642176
2315,Rio Sapucaí,6,0.107896007536898
2316,Rio Jaguari-mirim,5,0.0728047854841831
2317,sem nome,5,0.0262582559050332
2318,sem nome,5,0.151008016402312
2319,Rio Aiuruoca,6,0.205380946208873
2320,Rio Sapucaí,6,0.053155252817
2321,Rio Sapucaí,6,0.0121417032545586
