X,Y,OBJECTID,cd,cdestacao,sguf,entidade,corpodagua,ambiente,latitude,longitude,nuecoli,med_2001,med_2003,med_2004,med_2005,med_2006,med_2007,med_2008,med_2009,med_2010,med_2011,med_2012,med_2013,med_2014,med_2015,med_2016,med_2017,med_2018,med_2019,med_2020,min_2001,min_2003,min_2004,min_2005,min_2006,min_2007,min_2008,min_2009,min_2010,min_2011,min_2012,min_2013,min_2014,min_2015,min_2016,min_2017,min_2018,min_2019,min_2020,max_2001,max_2003,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020
-48.894167,-20.7030559999999,3499,6793,CXEI02550,SP,CETESB,Rio da Cachoeirinha,1,-20.703056,-48.894167,7,,,,,,,,,,,,,,,,,,,259.57142857,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,1320
-48.3233329999999,-21.310278,3500,6794,RICO02600,SP,CETESB,Córrego  Rico- UGHRI 9,1,-21.310278,-48.323333,12,,,,,,,,,,,,,,,,,,,1035,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,3500
-43.2766109999999,-22.012194,3501,6795,00RJ02PN0273,RJ,INEA,Informação não disponível,1,-22.012194,-43.276611,4,,,,,,,,,,,,,,,,,,482.5,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,780,
-46.6891669999999,-23.6144439999999,3502,6796,SPRA04850,SP,CETESB,Córrego Águas Espraiadas,1,-23.614444,-46.689167,17,,,,,,,,,,,,,,,,,,,3341176.47058824,,,,,,,,,,,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,9400000
-51.953005,-28.911039,3503,6797,86555800,RS,FEPAM,Rio Guaporé,1,-28.911039,-51.953005,13,,,,,,,,,,,,,,,,,1183.8,887.525,734.74,,,,,,,,,,,,,,,,,172.3,62.7,62.7,,,,,,,,,,,,,,,,,2098,2419.6,2419.6
-47.394444,-24.649167,3504,6798,RIIG02995,SP,CETESB,Rio Ribeira de Iguape,2,-24.649167,-47.394444,8,,,,,,,,,,,,,,,,,,,144.625,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,400
-49.9066109999999,-17.6143059999999,3505,6799,GO8494I29,GO,SEMARH,RIO DOS BOIS,1,-17.614306,-49.906611,4,,,,,,,,,,,,,,,,,,,448.5,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,1046
-39.217411,-6.89160099999998,3506,6800,JUN-01,CE,COGERH,Junco,1,-6.891601,-39.217411,6,,,,,,,,,,,,,,,,,,,9.81666667,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,22.8
-51.852639,-15.89025,3507,6803,GO696E8,GO,SEMARH,Informação não disponível,1,-15.89025,-51.852639,2,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,172
-41.682778,-22.0541669999999,3508,6804,00RJ32MB0010,RJ,INEA,Informação não disponível,1,-22.054167,-41.682778,5,,,,,,,,,,,,,,,,,,,2104,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,4900
-49.1730269999999,-28.6957889999999,3509,6805,SC-7757-I-3,SC,SDE-SC,Rio Urussanga,1,-28.695789,-49.173027,8,,,,,,,,,,,,,,,,,,,413.75,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,920
-51.3883329999999,-22.6611109999999,3510,6806,PARP02750,SP,CETESB,Rio Paranapanema,1,-22.661111,-51.388333,9,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,172
-46.6958,-23.55,3511,6807,KUJA04350,SP,CETESB,Córrego das Corujas,1,-23.55,-46.6958,3,,,,,,,,,,,,,,,,,,,144600,,,,,,,,,,,,,,,,,,,3800,,,,,,,,,,,,,,,,,,,220000
-54.6899999999999,-17.9147219999999,3512,6808,00MS21PQ2253,MS,IMASUL,Rio Piquiri,1,-17.914722,-54.69,12,,,,,,,,1176,,,,67,,,,,,,1190,,,,,,,,490,,,,61,,,,,,,330,,,,,,,,2200,,,,73,,,,,,,3500
-39.68166,-16.3908299999999,3513,6809,FBSBRH250,BA,INEMA,Cabeceira de Pedras,1,-16.39083,-39.68166,5,,,,,,,,,,,,,,,,,,,703.6,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,1700
-49.636111,-20.2944439999999,3514,6810,PRET02800,SP,CETESB,Rio Preto - UGRHI 15,1,-20.294444,-49.636111,10,,,,,,,,,,,,,,,,,,,210.8,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,560
-44.17,-19.91,3515,6811,BP063,MG,IGAM,Represa Várzea das Flores,2,-19.91,-44.17,4,,,,,,,,,,,,,,,,,,,46.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,173
-40.2771779999999,-18.5740079999999,3516,6813,SMT2C015,ES,IEMA,Rio São Mateus,1,-18.574008,-40.277178,5,,,,,,,,,,,,,,,,,,,1002,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,1700
-51.2427779999999,-29.8766669999999,3517,6814,87385040,RS,FEPAM,Informação não disponível,1,-29.876667,-51.242778,5,,,,,,,,,,,,,,,,,,,1047.6,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,1860
-47.5699999999999,-22.346944,3518,6815,CRUM02100,SP,CETESB,Rio Corumbataí,1,-22.346944,-47.57,6,,,,,,,,,,,,,,,,,,8076.66666667,,,,,,,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,,32000,
-52.1677799999999,-31.4105499999999,3519,6816,87929000,RS,FEPAM,Arroio Turuçu,1,-31.41055,-52.16778,5,,,,,,,,,,,,,,,,,,,714.88,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,2419.6
-53.523611,-16.421667,3520,6817,GAR152,MT,SEMA,Rio das Garças,1,-16.421667,-53.523611,3,,,,,,,,,,,,,,,,,,183.66666667,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,295,
-47.029444,-23.382778,3521,6819,TIRG02900,SP,CETESB,Reservatório de Rasgão,2,-23.382778,-47.029444,9,,,,,,,,,,,,,,,,,,,440000,,,,,,,,,,,,,,,,,,,27000,,,,,,,,,,,,,,,,,,,2100000
-52.19883,-32.03311,3522,6820,87992000,RS,FEPAM,Estuário L. Patos,1,-32.03311,-52.19883,5,,,,,,,,,,,,,,,,,,,378.82,,,,,,,,,,,,,,,,,,,34.1,,,,,,,,,,,,,,,,,,,1553.1
-42.84025,-22.912111,3523,6821,00RJ24LU0010,RJ,INEA,Rio Ludigero,1,-22.912111,-42.84025,5,,,,,,,,,,,,,,,,,,,252660,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,920000
-53.0060999999999,-22.5183,3524,6823,PARN02910,SP,CETESB,Rio Paraná,1,-22.5183,-53.0061,7,,,,,,,,,,,,,,,,,,,36.57142857,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,220
-44.79,-19.85,3525,6824,PA018,MG,IGAM,Rio São João (SF2),1,-19.85,-44.79,4,,,,,,,,,,,,,,,,,,,777.55,,,,,,,,,,,,,,,,,,,215.7,,,,,,,,,,,,,,,,,,,2014.2
-47.3586,-23.6530999999999,3526,6825,BPRU02300,SP,CETESB,Braço do Ribeirão Paruru,2,-23.6531,-47.3586,4,,,,,,,,,,,,,,,,,,,32.75,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,80
-47.799139,-16.538222,3527,6828,GO8496I27,GO,SEMARH,RIO SÃO BARTOLOMEU,1,-16.538222,-47.799139,3,,,,,,,,,,,,,,,,,,170.33333333,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,250,
-39.490108,-3.37307499999997,3528,6829,GAM-01,CE,COGERH,Gameleira,2,-3.373075,-39.490108,8,,,,,,,,,,,,,,,,,,,2.5875,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7.5
-40.4399999999999,-16.05,3529,6830,JE048,MG,IGAM,Rio Rubim do Norte,1,-16.05,-40.44,8,,,,,,,,,,,,,,,,,,,211.25,,,,,,,,,,,,,,,,,,,97.9,,,,,,,,,,,,,,,,,,,389.3
-43.1700079999999,-22.944919,3530,6833,02RJ10GN0025,RJ,INEA,Baía de Guanabara,4,-22.944919,-43.170008,7,,,,,,,,,,,,,,,,,,,75.85714286,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,170
-47.120278,-23.262222,3531,6834,IRIS02400,SP,CETESB,Rio Piraí,1,-23.262222,-47.120278,7,,,,,,,,,,,,,,,,,,,20878.57142857,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,72000
-35.607472,-8.21328899999997,3532,6835,39340500,PE,CPRH,Informação não disponível,1,-8.213289,-35.607472,7,,,,,,,,,,,,,,,,,,25666.66666667,59250,,,,,,,,,,,,,,,,,,7000,7000,,,,,,,,,,,,,,,,,,54000,160000
-46.608889,-23.5780559999999,3533,6836,IPIR04900,SP,CETESB,Córrego do Ipiranga,1,-23.578056,-46.608889,9,,,,,,,,,,,,,,,,,,,427000,,,,,,,,,,,,,,,,,,,93000,,,,,,,,,,,,,,,,,,,1000000
-47.445278,-23.54,3534,6837,SORO02050,SP,CETESB,Rio Sorocaba,1,-23.54,-47.445278,10,,,,,,,,,,,,,,,,,,,43330,,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,,,,,,,,,250000
-40.120739,-3.20233999999994,3535,6838,1336,CE,COGERH,Rio Acaraú,1,-3.20234,-40.120739,19,,,,,,,,,,,,,24533.33333333,,,233.15,118.15,270.85,,,,,,,,,,,,,,13400,,,84.2,18.3,7.3,,,,,,,,,,,,,,40900,,,456.9,378.4,770.1,
-53.97194,-27.29139,3536,6839,74480000,RS,FEPAM,Rio Turvo,1,-27.29139,-53.97194,5,,,,,,,,,,,,,,,,,,,735.82,,,,,,,,,,,,,,,,,,,58.1,,,,,,,,,,,,,,,,,,,2419.6
-50.9244439999999,-20.296667,3537,6840,BPEN02400,SP,CETESB,Braço do Rib. Ponte Pensa,2,-20.296667,-50.924444,8,,,,,,,,,,,,,,,,,,,4.375,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12
-47.2499999999999,-22.048333,3538,6841,PEVA02900,SP,CETESB,Rio da Itupeva,1,-22.048333,-47.25,7,,,,,,,,,,,,,,,,,,,1405.71428571,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,8000
-47.2838889999999,-20.633056,3539,6842,SAPZ04500,SP,CETESB,Rio Sapucaizinho,1,-20.633056,-47.283889,7,,,,,,,,,,,,,,,,,,,3271.42857143,,,,,,,,,,,,,,,,,,,820,,,,,,,,,,,,,,,,,,,8000
-55.0551619999999,-27.8792299999999,3540,6843,74910000,RS,FEPAM,Rio Comandaí,1,-27.87923,-55.055162,5,,,,,,,,,,,,,,,,,,,1603.14,,,,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,,,,,,,,2419.6
-53.41734,-30.96417,3541,6844,87599000,RS,FEPAM,Arroio João Dias,1,-30.96417,-53.41734,5,,,,,,,,,,,,,,,,,,,233.88,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,481.1
-45.894444,-23.752222,3542,6845,TUBA02900,SP,CETESB,Rio Guaratuba,1,-23.752222,-45.894444,9,,,,,,,,,,,,,,,,,,,307.55555556,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,980
-44.6143529999999,-22.329464,3543,6848,00RJ02PT0001,RJ,INEA,Rio Preto,1,-22.329464,-44.614353,4,,,,,,,,,,,,,,,,,,296.25,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,1100,
-41.0494439999999,-21.9236109999999,3544,6849,00RJ33CQ0003,RJ,INEA,Canal Quitingute,1,-21.923611,-41.049444,2,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,78
-43.217417,-22.906889,3545,6851,00RJ10MR0040,RJ,INEA,Canal do Mangue,1,-22.906889,-43.217417,4,,,,,,,,,,,,,,,,,,1600000,,,,,,,,,,,,,,,,,,,1600000,,,,,,,,,,,,,,,,,,,1600000,
-47.278333,-23.292222,3546,6852,PGUI02700,SP,CETESB,Ribeirão Pirapitingui,1,-23.292222,-47.278333,9,,,,,,,,,,,,,,,,,,,3545.77777778,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,23000
-54.86401,-28.0007699999999,3547,6853,74899000,RS,FEPAM,Rio Comandaí,1,-28.00077,-54.86401,5,,,,,,,,,,,,,,,,,,,1654.18,,,,,,,,,,,,,,,,,,,325.5,,,,,,,,,,,,,,,,,,,2419.6
-46.5663999999999,-21.6591999999999,3548,6854,BARI02950,SP,CETESB,Rio Lambari,1,-21.6592,-46.5664,2,,,,,,,,,,,,,,,,,,,170.5,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,300
-47.639167,-21.724167,3549,6855,MOGU02490,SP,CETESB,Rio Mogi-Guaçu,1,-21.724167,-47.639167,8,,,,,,,,,,,,,,,,,,,2524.5,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,6900
-47.7377779999999,-23.3527779999999,3550,6856,SAUI02900,SP,CETESB,Rio Sarapuí,1,-23.352778,-47.737778,9,,,,,,,,,,,,,,,,,,,183.11111111,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,820
-47.366389,-21.9533329999999,3551,6857,TELA02700,SP,CETESB,Córrego Batistela,1,-21.953333,-47.366389,8,,,,,,,,,,,,,,,,,,,1074.375,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,7300
