X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUOD,MEDOD,MINOD,MAXOD,DEVOD,LATITUDE,LONGITUDE
-50.7499999999999,-26.5830559999999,35,282,65260000,2021,PR,Águas Paraná,TIMBÓ,1,4,8.075,6.8,9.5,1.37447,-26.583056,-50.75
-48.977167,-26.572694,36,283,SC-7751-I-22,2021,SC,SDE-SC,Rio Putanga,1,8,7.2,5,8.8,1.175949,-26.572694,-48.977167
-48.883843,-26.5249469999999,37,286,SC-7752-I-2,2021,SC,SDE-SC,Rio Itapocu,1,8,6.975,5.1,9.4,1.474304,-26.524947,-48.883843
-49.0808,-26.4798999999999,38,288,SC-7752-I-1,2021,SC,SDE-SC,Rio Itapocu,1,8,6.8125,5.4,8.6,1.262014,-26.4799,-49.0808
-48.8310999999999,-26.4481,39,289,SC-7752-I-4,2021,SC,SDE-SC,Rio Piraí,1,8,6.4875,5.1,8.1,1.268787,-26.4481,-48.8311
-51.271667,-26.386944,40,290,65370000,2021,PR,Águas Paraná,Rio Jangada,1,4,8.95,7,10,1.332917,-26.386944,-51.271667
-50.878056,-26.383889,41,291,65295000,2021,PR,Águas Paraná,TIMBÓ,1,4,8.325,7,10.2,1.552149,-26.383889,-50.878056
-52.589444,-26.284167,42,296,65925800,2021,PR,Águas Paraná,Rio Pato Branco,1,4,8.75,7.9,10,0.960902,-26.284167,-52.589444
-52.3,-26.28,43,297,65925000,2021,PR,ANA,Rio Chopim,1,4,9.34,9,10,0.458694,-26.28,-52.3
-48.9782999999999,-26.2488999999999,44,298,SC-7751-I-1,2021,SC,SDE-SC,Rio Piraí,1,8,8.075,7,9.2,0.781482,-26.2489,-48.9783
-51.08,-26.2269439999999,45,299,65310000,2021,PR,Águas Paraná,Rio Iguaçu,1,4,7.75,7,8.1,0.506623,-26.226944,-51.08
-49.5836869999999,-26.226614,46,300,65095000,2021,PR,Águas Paraná,Rio Negro,1,4,7.85,7,9.3,1.066146,-26.226614,-49.583687
-49.518333,-26.225,47,301,65093000,2021,PR,Águas Paraná,RIO NEGRINHO,1,4,7.4875,7,8.1,0.572094,-26.225,-49.518333
-51.2197219999999,-26.177222,48,303,65365000,2021,PR,Águas Paraná,Rio Espingarda,1,4,8.1125,7,10,1.31264,-26.177222,-51.219722
-51.2277779999999,-26.1652779999999,49,304,65365800,2021,PR,Águas Paraná,Rio Iguaçu,1,4,7.4,6,8.4,1.058301,-26.165278,-51.227778
-49.380556,-26.1547219999999,50,305,65090000,2021,PR,Águas Paraná,Rio Negro,1,4,8.425,7.4,9.3,0.880814,-26.154722,-49.380556
-53.0197219999999,-26.1525,51,306,65948000,2021,PR,Águas Paraná,Rio Marmeleiro,1,4,7.575,6,9,1.228481,-26.1525,-53.019722
-48.995956,-26.142869,52,307,SC-7751-R-26,2021,SC,SDE-SC,Rio Cubatão,1,8,7.675,5.1,9,1.245277,-26.142869,-48.995956
-50.362068,-26.111574,53,309,65180000,2021,PR,Águas Paraná,Rio Canoinhas,1,4,7.4125,6,8,0.945353,-26.111574,-50.362068
-50.3338889999999,-26.0913889999999,54,311,65175000,2021,PR,Águas Paraná,Rio Negro,1,4,8.35,7,9,0.911043,-26.091389,-50.333889
-53.073889,-26.081667,55,312,65950200,2021,PR,Águas Paraná,Rio Marrecas,1,4,7.78,7,9,0.856505,-26.081667,-53.073889
-52.800833,-26.0502779999999,56,313,65945000,2021,PR,Águas Paraná,Rio Vitorino,1,4,8.4525,7,9.4,1.05025,-26.050278,-52.800833
-51.1422219999999,-26.031944,57,314,65415000,2021,PR,Águas Paraná,Rio Palmital,1,4,8.75,8,9.7,0.759386,-26.031944,-51.142222
-50.5925,-26.019167,58,316,65220000,2021,PR,Águas Paraná,Rio Iguaçu,1,4,8.65,8,10,0.943398,-26.019167,-50.5925
-51.6339159999999,-26.001911,59,317,65774300,2021,PR,IAT,Rio Iguaçu,1,4,6.925,5.4,8,1.29454,-26.001911,-51.633916
-49.791389,-25.945556,60,318,65155000,2021,PR,Águas Paraná,Rio da Várzea,1,4,8.425,7.1,9.6,1.102648,-25.945556,-49.791389
-49.3930559999999,-25.9344439999999,61,319,65135000,2021,PR,Águas Paraná,Rio da Várzea,1,4,8.42,8,9,0.438482,-25.934444,-49.393056
-48.852222,-25.933056,62,320,82249000,2021,PR,Águas Paraná,Informação não disponível,1,4,9.475,7.6,10.3,1.257975,-25.933056,-48.852222
-52.8494439999999,-25.915,63,321,65955000,2021,PR,Águas Paraná,Rio Santana,1,4,8.0925,7,9,1.014146,-25.915,-52.849444
-50.525683,-25.911033,64,322,65208000,2021,PR,ANA,Rio Potinga,1,4,8.4,7.8,9,0.588784,-25.911033,-50.525683
-50.389444,-25.875556,65,323,65060000,2021,PR,Águas Paraná,Rio Iguaçu,1,4,7.25,6,8,0.869866,-25.875556,-50.389444
-49.5128,-25.8642,66,324,65136550,2021,PR,Águas Paraná,Rio da Varzea,1,4,8.1,7,9,0.828654,-25.8642,-49.5128
-52.5461109999999,-25.855833,67,325,65874990,2021,PR,Águas Paraná,Rio do Meio,1,4,7.885,7,8.6,0.660984,-25.855833,-52.546111
-48.8,-25.8167,68,327,82234000,2021,PR,Águas Paraná,RIO CUBATÃO,1,4,9.175,7.3,10.4,1.381726,-25.8167,-48.8
-52.673333,-25.813889,69,328,65883070,2021,PR,Águas Paraná,Rio Capivara,1,4,8.44,8,9,0.489626,-25.813889,-52.673333
-53.5155999999999,-25.7694,70,332,65974500,2021,PR,Águas Paraná,Rio Sarandi,1,4,8.295,7.9,9,0.496756,-25.7694,-53.5156
-52.926667,-25.769167,71,333,65960000,2021,PR,Águas Paraná,Rio Chopim,1,4,8.05,7,9,0.834666,-25.769167,-52.926667
-53.840278,-25.7461109999999,72,336,65990550,2021,PR,Águas Paraná,Rio Santo Antonio,1,4,8.365,8,9,0.458512,-25.746111,-53.840278
-49.3173609999999,-25.7206669999999,73,338,65019400,2021,PR,Águas Paraná,Rio Mauricio,1,4,7.925,7,8.7,0.699405,-25.720667,-49.317361
-53.7486,-25.6831,74,341,65985220,2021,PR,Águas Paraná,Rio Siemens,1,4,7.535,6,9,1.226744,-25.6831,-53.7486
-54.4399999999999,-25.6799999999999,75,343,65992501,2021,PR,COPEL,Rio Iguaçu,1,4,8.31,7.8,9,0.53204,-25.68,-54.44
-48.4999999999999,-25.666667,76,344,82222000,2021,PR,IAT,Rio Guaraquaçu,1,4,3.4375,1.45,6,1.890932,-25.666667,-48.5
-49.0730419999999,-25.641319,77,350,64620000,2021,PR,Águas Paraná,Rio dos Patos,1,4,7.8475,7.4,8,0.298371,-25.641319,-49.073042
-49.0730419999999,-25.641319,78,350,64620000,2021,PR,Águas Paraná,Rio dos Patos,1,4,8.92,8,9.6,0.668531,-25.641319,-49.073042
-53.214167,-25.639444,79,351,65970250,2021,PR,Águas Paraná,Rio Boa Esperança,1,4,6.855,6,7.6,0.660379,-25.639444,-53.214167
-51.9672219999999,-25.6380559999999,80,352,65825000,2021,PR,Águas Paraná,Rio Jordão,1,4,7.8925,6.7,9,0.941749,-25.638056,-51.967222
