X,Y,OBJECTID,ID,CDESTACAO,ANO,SGUF,ENTIDADE,CORPODAGUA,AMBIENTE,NUIQA,MEDIQA,MINIQA,MAXIQA,DEVIQA,LATITUDE,LONGITUDE
-45.2377799999999,-16.2683299999999,1026,2616,SFH17,2021,MG,IGAM,Rio Urucuia,1,7,67.481954,52.230976,83.700727,14.123987,-16.26833,-45.23778
-39.584694,-16.2668889999999,1027,2617,FBSJTB200,2021,BA,INGÁ,João de Tiba,1,5,63.079377,59.694084,66.928029,3.420626,-16.266889,-39.584694
-44.84,-16.2599999999999,1028,2619,SF037,2021,MG,IGAM,Riacho do Angico,1,7,65.716035,42.768298,75.323201,12.27857,-16.26,-44.84
-39.12875,-16.259944,1029,2620,FBSJTB400,2021,BA,INGÁ,João de Tiba,1,5,63.554454,49.53409,72.662757,9.583623,-16.259944,-39.12875
-45.54,-16.23,1030,2622,UR003,2021,MG,IGAM,Rio Urucuia,1,6,74.02362,55.51884,92.629134,14.014143,-16.23,-45.54
-43.785,-16.21111,1031,2625,VG004,2021,MG,IGAM,Rio Verde Grande,1,8,57.451239,45.933537,74.049283,9.02601,-16.21111,-43.785
-40.69472,-16.18806,1032,2633,JE023,2021,MG,IGAM,Rio Jequitinhonha,1,8,65.70174,49.693916,78.527465,10.837363,-16.18806,-40.69472
-42.2862499999999,-16.1695799999999,1033,2635,JE010,2021,MG,IGAM,Rio Salinas,1,8,57.616188,43.635617,82.452666,13.552615,-16.16958,-42.28625
-40.667,-16.1636099999999,1034,2636,JE022,2021,MG,IGAM,Rio São Francisco (JQ3),1,8,61.767659,43.966756,75.689463,12.11373,-16.16361,-40.667
-45.1210599999999,-16.1417799999999,1035,2640,UR017,2021,MG,IGAM,Rio Urucuia,1,8,72.971856,53.412902,92.393493,14.849418,-16.14178,-45.12106
-40.43294,-16.14003,1036,2641,JE024,2021,MG,IGAM,Rio Rubim do Sul,1,7,75.651922,59.316005,81.074575,7.873875,-16.14003,-40.43294
-40.21,-16.1399999999999,1037,2642,JE049,2021,MG,IGAM,Rio Jequitinhonha,1,8,67.454775,55.583646,78.789309,9.553655,-16.14,-40.21
-45.9025,-16.1324999999999,1038,2644,UR007,2021,MG,IGAM,Rio Urucuia,1,8,73.478374,56.658832,86.355024,10.913634,-16.1325,-45.9025
-39.278833,-16.132222,1039,2645,FBSSTA100,2021,BA,INGÁ,Santo Antônio,1,5,64.553366,53.173356,72.696314,8.053767,-16.132222,-39.278833
-43.85342,-16.11117,1040,2646,SFJ17,2021,MG,IGAM,Ribeirão do Ouro,1,8,62.93215,51.794538,76.966434,10.729415,-16.11117,-43.85342
-46.6399999999999,-16.11,1041,2648,PB004,2021,MG,IGAM,Rio Verde (PN1),1,8,72.326049,67.740903,76.846377,3.409037,-16.11,-46.64
-39.60556,-16.091,1042,2652,JQHLIM600,2021,BA,INEMA,Limoeiro,1,4,31.111071,14.096726,56.361236,18.740357,-16.091,-39.60556
-45.8579999999999,-16.09028,1043,2653,UR015,2021,MG,IGAM,Ribeirão da Areia,1,8,72.643193,57.0665,81.495958,7.901841,-16.09028,-45.858
-46.1214199999999,-16.0574999999999,1044,2659,UR014,2021,MG,IGAM,Rio São Miguel (SF8),1,8,73.272357,55.432256,84.161168,10.403377,-16.0575,-46.12142
-40.4399999999999,-16.05,1045,2664,JE048,2021,MG,IGAM,Rio Rubim do Norte,1,8,77.647228,71.628828,85.24163,4.599716,-16.05,-40.44
-39.395278,-16.0436109999999,1046,2669,JQHJQH525,2021,BA,INEMA,Jequitinhonha,1,4,61.995329,55.129209,68.074483,6.966571,-16.043611,-39.395278
-39.921417,-16.009083,1047,2679,JQHJQH200,2021,BA,INGÁ,Rio Jequitinhonha,1,5,58.704277,54.434038,62.496747,2.894423,-16.009083,-39.921417
-39.96433,-16.00567,1048,2681,JE025,2021,MG,IGAM,Rio Jequitinhonha,1,7,69.726687,50.88501,80.058709,10.629224,-16.00567,-39.96433
-40.8899999999999,-15.98,1049,2691,JE047,2021,MG,IGAM,Rio São Francisco,1,5,62.68992,57.697595,72.321972,5.690238,-15.98,-40.89
-44.86783,-15.94886,1050,2701,SF027,2021,MG,IGAM,Rio São Francisco (SF),1,8,74.454222,55.897231,90.558015,14.204312,-15.94886,-44.86783
-39.559,-15.9469999999999,1051,2703,JQHJQH500,2021,BA,INGÁ,Rio Jequitinhonha,1,5,62.69752,53.874436,71.43425,7.601594,-15.947,-39.559
-43.64075,-15.9404699999999,1052,2710,SFJ18,2021,MG,IGAM,Rio Verde Grande,1,8,67.454741,52.36018,80.728253,11.342674,-15.94047,-43.64075
-45.1299999999999,-15.9399999999999,1053,2712,SF035,2021,MG,IGAM,Rio Acari,1,8,70.567771,46.00418,84.680447,15.942975,-15.94,-45.13
-46.1191699999999,-15.93139,1054,2716,UR013,2021,MG,IGAM,Rio Urucuia,1,8,72.767548,53.07936,93.28645,14.443142,-15.93139,-46.11917
-41.71,-15.8699999999999,1055,2760,JE006,2021,MG,IGAM,Rio Salinas,1,8,73.651113,57.116162,90.253773,9.968435,-15.87,-41.71
-43.2599999999999,-15.8299999999999,1056,2792,SFC145,2021,MG,IGAM,Rio Gorutuba,1,8,84.710183,80.510295,93.104447,3.816115,-15.83,-43.26
-44.02411,-15.81647,1057,2803,SFJ21,2021,MG,IGAM,Rio Arapoim,1,8,75.266521,44.258843,91.777519,14.379939,-15.81647,-44.02411
-43.61369,-15.7804399999999,1058,2825,SFJ20,2021,MG,IGAM,Rio Verde Grande,1,7,68.903132,54.107039,80.089612,11.600594,-15.78044,-43.61369
-40.55,-15.78,1059,2826,JE029,2021,MG,IGAM,Ribeirão São Pedro (JQ3),1,8,26.343967,14.473054,39.895037,8.317173,-15.78,-40.55
-43.3124999999999,-15.77278,1060,2834,VG007,2021,MG,IGAM,Rio Gorutuba,1,8,53.161344,39.332452,62.450767,7.94035,-15.77278,-43.3125
-46.05,-15.77,1061,2836,UR002,2021,MG,IGAM,Ribeirão da Extrema,1,8,64.670914,49.455915,77.892635,10.730918,-15.77,-46.05
-45.1999999999999,-15.7599999999999,1062,2844,PT002,2021,MG,IGAM,Ribeirão Roncador,1,8,65.38043,44.093486,75.453776,13.351673,-15.76,-45.2
-43.3069399999999,-15.74833,1063,2851,IU001,2021,MG,IGAM,Córrego Barreado,1,8,53.016698,43.184324,61.717528,6.838887,-15.74833,-43.30694
-41.48,-15.74,1064,2858,JE008,2021,MG,IGAM,Rio Vacaria,1,8,72.274337,52.432575,86.041369,13.348667,-15.74,-41.48
-43.59,-15.74,1065,2862,SFJ22,2021,MG,IGAM,Rio Verde Grande,1,7,70.403472,51.462774,87.463501,15.516229,-15.74,-43.59
-45.3099999999999,-15.74,1066,2863,PT004,2021,MG,IGAM,Ribeirão Cana Brava,1,8,66.808938,42.944445,82.859361,15.266663,-15.74,-45.31
-47.3199999999999,-15.73,1067,2872,SFH24,2021,MG,IGAM,Rio Preto (SF7),1,8,72.966985,67.30138,77.860515,3.301366,-15.73,-47.32
-42.17214,-15.7029199999999,1068,2884,PD003,2021,MG,IGAM,Rio Pardo (PA1),1,8,78.002903,72.269455,86.557269,5.138191,-15.70292,-42.17214
-44.54,-15.6999999999999,1069,2886,SF032,2021,MG,IGAM,Rio São Francisco (SF),1,6,74.605685,61.507106,88.042731,9.121708,-15.7,-44.54
-42.86,-15.6799999999999,1070,2893,SFC200,2021,MG,IGAM,Rio Serra Branca,1,8,83.854168,64.41404,90.406338,8.436432,-15.68,-42.86
-39.055944,-15.66275,1071,2904,PRDPRD800,2021,BA,INGÁ,Rio Pardo,1,5,66.388264,42.551382,78.373735,16.278125,-15.66275,-39.055944
-40.04583,-15.6539999999999,1072,2917,PRDJUN500,2021,BA,INEMA,Córrego Jundiá,1,5,19.647202,13.044173,24.599467,4.706272,-15.654,-40.04583
-46.4175299999999,-15.61639,1073,2940,UR001,2021,MG,IGAM,Rio Urucuia,1,8,69.586969,47.414906,93.440713,17.233305,-15.61639,-46.41753
-40.2591669999999,-15.6144439999999,1074,2943,PRDPAL700,2021,BA,INEMA,Córrego Palmeira,1,5,41.189762,30.561635,53.811354,9.714805,-15.614444,-40.259167
-39.516667,-15.603889,1075,2948,,2021,BA,,,1,4,72.535918,69.550917,78.127115,3.969649,-15.603889,-39.516667
-39.4100999999999,-15.57985,1076,2957,PRDPRD500,2021,BA,INGÁ,Rio Pardo,1,5,72.459742,69.553714,74.961842,2.26492,-15.57985,-39.4101
-39.304472,-15.5685559999999,1077,2961,PRDPRD600,2021,BA,INGÁ,Rio Pardo,1,5,67.659622,62.021945,74.989822,6.199056,-15.568556,-39.304472
-40.430833,-15.564444,1078,2963,PRDMAC900,2021,BA,INEMA,Macarani,1,5,43.808182,30.717849,55.416032,10.229312,-15.564444,-40.430833
-39.7217699999999,-15.56024,1079,2964,PRDPRD430,2021,BA,INGÁ,Rio Pardo,1,5,75.83947,65.763241,81.907032,6.543596,-15.56024,-39.72177
-40.447778,-15.549722,1080,2965,PRDMAJ500,2021,BA,INEMA,Manjerona,1,5,61.44654,59.371172,64.51159,2.214102,-15.549722,-40.447778
-39.867667,-15.52075,1081,2969,PRDPRD400,2021,BA,INGÁ,Rio Pardo,1,5,62.996043,55.844856,74.573419,7.419692,-15.52075,-39.867667
-46.1971399999999,-15.5184399999999,1082,2970,UR012,2021,MG,IGAM,Rio Piratinga,1,8,68.020801,48.637677,84.066682,14.019945,-15.51844,-46.19714
-41.237111,-15.513139,1083,2971,PRDPRD200,2021,BA,INGÁ,Rio Pardo,1,5,67.39294,60.8521,71.871467,4.865965,-15.513139,-41.237111
